                    DIR SENSOR ERRORS
 level  synop   ship   buoy  metar  pilot  profl  sound  satem  satob  airep tamdar  ssmt1  ssmt2   ssmi   tovs  airsr  other 
   10.   15.0   15.0   24.0   15.0   24.0   24.0   15.0   24.0   24.0   24.0   24.0   24.0   24.0   24.0   24.0  -99.9   24.0
   20.   15.0   15.0   24.0   15.0   24.0   24.0   15.0   24.0   24.0   24.0   24.0   24.0   24.0   24.0   24.0  -99.9   24.0
   30.   15.0   15.0   24.0   15.0   24.0   24.0   15.0   24.0   24.0   24.0   24.0   24.0   24.0   24.0   24.0  -99.9   24.0
   40.   15.0   15.0   24.0   15.0   20.0   24.0   15.0   24.0   24.0   24.0   24.0   24.0   24.0   24.0   24.0  -99.9   24.0
   50.   15.0   15.0   24.0   15.0   20.0   24.0   15.0   24.0   24.0   24.0   18.0   24.0   24.0   24.0   24.0  -99.9   24.0
  100.   15.0   15.0   24.0   15.0   20.0   24.0   15.0   20.0   20.0   24.0   18.0   20.0   20.0   20.0   20.0  -99.9   24.0
  150.   15.0   15.0   24.0   15.0   15.0   24.0   15.0   20.0   20.0   20.0   18.0   20.0   20.0   20.0   20.0  -99.9   24.0
  200.   15.0   15.0   20.0   15.0   15.0   16.0   15.0   25.0   25.0   21.0   16.0   25.0   25.0   25.0   25.0  -99.9   24.0
  250.   16.0   16.0   20.0   16.0   15.0   16.0   16.0   25.0   25.0   21.0   16.0   25.0   25.0   25.0   25.0  -99.9   24.0
  300.   16.0   16.0   20.0   16.0   15.0   16.0   16.0   25.0   25.0   21.0   16.0   25.0   25.0   25.0   25.0  -99.9   24.0
  350.   16.0   16.0   20.0   16.0   17.0   16.0   16.0   25.0   25.0   21.0   16.0   25.0   25.0   25.0   25.0  -99.9   24.0
  400.   16.0   16.0   20.0   16.0   17.0   16.0   16.0   27.0   27.0   23.0   16.0   27.0   27.0   27.0   27.0  -99.9   24.0
  450.   16.0   16.0   20.0   16.0   17.0   18.0   16.0   27.0   27.0   23.0   18.0   27.0   27.0   27.0   27.0  -99.9   24.0
  500.   17.0   17.0   22.0   17.0   18.0   18.0   17.0   27.0   27.0   23.0   18.0   27.0   27.0   27.0   27.0  -99.9   24.0
  550.   17.0   17.0   22.0   17.0   18.0   21.0   17.0   30.0   30.0   26.0   21.0   30.0   30.0   30.0   30.0  -99.9   25.0
  600.   17.0   17.0   22.0   17.0   18.0   21.0   17.0   30.0   30.0   26.0   21.0   30.0   30.0   30.0   30.0  -99.9   25.0
  650.   17.0   17.0   22.0   17.0   18.0   21.0   17.0   32.0   32.0   26.0   21.0   32.0   32.0   32.0   32.0  -99.9   25.0
  700.   18.0   18.0   22.0   18.0   20.0   21.0   18.0   32.0   32.0   28.0   21.0   32.0   32.0   32.0   32.0  -99.9   25.0
  750.   18.0   18.0   22.0   18.0   20.0   23.0   18.0   32.0   32.0   28.0   23.0   32.0   32.0   32.0   32.0  -99.9   27.0
  800.   18.0   18.0   22.0   18.0   20.0   23.0   18.0   32.0   32.0   28.0   23.0   32.0   32.0   32.0   32.0  -99.9   27.0
  850.   18.0   18.0   22.0   18.0   20.0   23.0   18.0   32.0   32.0   28.0   23.0   32.0   32.0   32.0   32.0  -99.9   27.0
  900.   20.0   20.0   20.0   20.0   25.0   25.0   20.0   35.0   35.0   30.0   26.0   35.0   35.0   35.0   35.0  -99.9   30.0
  950.   20.0   20.0   20.0   20.0   25.0   25.0   20.0   35.0   35.0   30.0   26.0   35.0   35.0   35.0   35.0  -99.9   30.0
 1000.   20.0   20.0   20.0   20.0   25.0   25.0   20.0   35.0   35.0   30.0   26.0   35.0   35.0   35.0   35.0  -99.9   30.0
 1050.   20.0   20.0   20.0   20.0   25.0   25.0   20.0   35.0   35.0   30.0   28.0   35.0   35.0   35.0   35.0  -99.9   30.0
 1100.   20.0   20.0   20.0   20.0   25.0   27.0   20.0   35.0   35.0   30.0   28.0   35.0   35.0   35.0   35.0  -99.9   30.0
